Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Commit_Method,EL_At_Commit,Lambda_At_Commit,MSPRT_Reject,Total_Tokens,Tokens_Step1,Tokens_Post_S1,Mean_Tokens_Per_Step,Total_Inferences,Tokens_Per_Inference,Total_Step_Duration_S,Mean_Step_Duration_S,Endpoint_Token_Breakdown,Infra_Noise,Infra_Noise_Rate
16,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.668,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
17,GPQA (Quantum Mechanics),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.677,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
18,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,3.82,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,3.785,0.252,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
19,GPQA (Quantum Mechanics),0,0,0,0,UNSTABLE,15,0.0,0.82,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.79,0.053,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
20,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.77,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.737,0.049,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
21,GPQA (Genetics),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.672,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
22,GPQA (High-energy particle physics),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.667,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
23,GPQA (High-energy particle physics),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.66,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
24,GPQA (Quantum Mechanics),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.649,0.043,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
25,GPQA (Genetics),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.682,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
26,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.68,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.645,0.043,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
27,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.669,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
28,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.75,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.711,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
29,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.74,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.706,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
30,GPQA (Quantum Mechanics),0,0,0,0,UNSTABLE,15,0.0,0.74,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.701,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
31,GPQA (Physics (general)),0,0,0,0,UNSTABLE,15,0.0,2.82,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,2.79,0.186,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
32,GPQA (Astrophysics),0,0,0,0,UNSTABLE,15,0.0,0.87,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.832,0.055,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
33,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.74,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.702,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
34,GPQA (Astrophysics),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.692,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
35,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.688,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
36,GPQA (Genetics),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.697,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
37,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.668,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
38,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.675,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
39,GPQA (Condensed Matter Physics),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.672,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
40,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.68,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.641,0.043,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
41,GPQA (High-energy particle physics),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.673,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
42,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.676,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
43,GPQA (Astrophysics),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.668,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
44,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.669,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
45,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,1.56,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,1.529,0.102,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
46,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.81,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.78,0.052,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
47,GPQA (Astrophysics),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.697,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
48,GPQA (High-energy particle physics),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.697,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
49,GPQA (Astrophysics),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.653,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
50,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.653,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
51,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.671,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
52,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.671,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
53,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.72,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.685,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
54,GPQA (Physics (general)),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.698,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
55,GPQA (Physics (general)),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.656,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
56,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.72,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.688,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
57,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.665,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
58,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.79,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.76,0.051,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
59,GPQA (High-energy particle physics),0,0,0,0,UNSTABLE,15,0.0,0.82,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.787,0.052,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
60,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.76,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.724,0.048,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
61,GPQA (High-energy particle physics),0,0,0,0,UNSTABLE,15,0.0,0.84,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.806,0.054,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
62,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.83,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.782,0.052,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
63,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.667,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
64,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.674,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
65,GPQA (Analytical Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.672,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
66,GPQA (Physics (general)),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.656,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
67,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.697,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
68,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.68,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
69,GPQA (Astrophysics),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.653,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
70,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.672,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
71,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.663,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
72,GPQA (High-energy particle physics),0,0,0,0,UNSTABLE,15,0.0,0.72,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.685,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
73,GPQA (Quantum Mechanics),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.664,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
74,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.81,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.774,0.052,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
75,GPQA (Electromagnetism and Photonics),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.692,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
76,GPQA (Astrophysics),0,0,0,0,UNSTABLE,15,0.0,0.72,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.69,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
77,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.77,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.737,0.049,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
78,GPQA (Quantum Mechanics),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.694,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
79,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.694,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
80,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.662,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
81,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.75,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.709,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
82,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.74,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.708,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
83,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.67,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
84,GPQA (Chemistry (general)),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.671,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
85,GPQA (Genetics),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.702,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
86,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.71,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.681,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
87,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.7,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.671,0.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
88,GPQA (Genetics),0,0,0,0,UNSTABLE,15,0.0,0.77,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.738,0.049,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
89,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.73,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.701,0.047,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
90,GPQA (Organic Chemistry),0,0,0,0,UNSTABLE,15,0.0,0.72,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.688,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
91,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.75,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.715,0.048,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
92,GPQA (Quantum Mechanics),0,0,0,0,UNSTABLE,15,0.0,0.72,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.688,0.046,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
93,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.68,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.647,0.043,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
94,GPQA (Molecular Biology),0,0,0,0,UNSTABLE,15,0.0,0.69,fallback,1.0,1.0,False,0,0,0,0.0,75,0.0,0.66,0.044,"{""databricks-qwen3-next-80b-a3b-instruct"": 0, ""databricks-meta-llama-3-3-70b-instruct"": 0}",0,0.0
