Idx,Category,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Commit_Method,EL_At_Commit,Lambda_At_Commit,MSPRT_Reject,Total_Tokens,Tokens_Step1,Tokens_Post_S1,Mean_Tokens_Per_Step,Total_Inferences,Tokens_Per_Inference,Total_Step_Duration_S,Mean_Step_Duration_S,Endpoint_Token_Breakdown,Infra_Noise,Infra_Noise_Rate
14,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.1630539999999998,1202.61,fallback,0.746,3.8093,False,212893,8711,204182,14192.9,75,2838.6,1202.558,80.171,"{""databricks-qwen3-next-80b-a3b-instruct"": 155741, ""databricks-meta-llama-3-3-70b-instruct"": 57152}",0,0.0
15,Frontier Math (AIME),0,0,0,0,STABLE,11,0.9269739999999999,639.02,EL-streak,0.0405,3.0363,False,162120,15070,147050,14738.2,55,2947.6,638.978,58.089,"{""databricks-qwen3-next-80b-a3b-instruct"": 139247, ""databricks-meta-llama-3-3-70b-instruct"": 22873}",0,0.0
16,Frontier Math (AIME),0,0,0,1,STABLE,7,0.276138,292.53,mSPRT,0.0005,33.0575,True,51420,6942,44478,7345.7,35,1469.1,292.488,41.784,"{""databricks-qwen3-next-80b-a3b-instruct"": 35229, ""databricks-meta-llama-3-3-70b-instruct"": 16191}",0,0.0
17,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.346722,954.35,fallback,0.6925,1.3712,False,239992,3252,236740,15999.5,75,3199.9,954.284,63.619,"{""databricks-qwen3-next-80b-a3b-instruct"": 193377, ""databricks-meta-llama-3-3-70b-instruct"": 46615}",0,0.0
18,Frontier Math (AIME),0,0,0,0,STABLE,11,0.590762,551.52,EL-streak,0.03,9.3814,False,106438,10584,95854,9676.2,55,1935.2,551.473,50.134,"{""databricks-qwen3-next-80b-a3b-instruct"": 82505, ""databricks-meta-llama-3-3-70b-instruct"": 23933}",0,0.0
19,Frontier Math (AIME),0,0,0,1,STABLE,11,0.9341959999999999,786.72,EL-streak,0.0,12.6128,False,166365,14423,151942,15124.1,55,3024.8,786.676,71.516,"{""databricks-qwen3-next-80b-a3b-instruct"": 134368, ""databricks-meta-llama-3-3-70b-instruct"": 31997}",0,0.0
20,Frontier Math (AIME),1,0,1,1,STABLE,1,0.04696,58.34,unanimous,0.1395,1.8333,False,8992,8992,0,8992.0,5,1798.4,58.305,58.305,"{""databricks-qwen3-next-80b-a3b-instruct"": 5496, ""databricks-meta-llama-3-3-70b-instruct"": 3496}",0,0.0
21,Frontier Math (AIME),0,0,0,1,STABLE,14,1.238872,1050.44,EL-streak,0.054,7.85,False,224011,17664,206347,16000.8,70,3200.2,1050.392,75.028,"{""databricks-qwen3-next-80b-a3b-instruct"": 171414, ""databricks-meta-llama-3-3-70b-instruct"": 52597}",0,0.0
22,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.029356,694.55,fallback,0.498,1.3206,False,182311,13528,168783,12154.1,75,2430.8,694.482,46.299,"{""databricks-qwen3-next-80b-a3b-instruct"": 150056, ""databricks-meta-llama-3-3-70b-instruct"": 32255}",0,0.0
23,Frontier Math (AIME),0,0,0,0,STABLE,9,0.260946,315.4,mSPRT,0.039,26.6025,True,50276,10590,39686,5586.2,45,1117.2,315.363,35.04,"{""databricks-qwen3-next-80b-a3b-instruct"": 29921, ""databricks-meta-llama-3-3-70b-instruct"": 20355}",0,0.0
24,Frontier Math (AIME),0,0,0,1,STABLE,8,0.597788,451.4,mSPRT,0.002,23.4728,True,109389,4066,105323,13673.6,40,2734.7,451.367,56.421,"{""databricks-qwen3-next-80b-a3b-instruct"": 80116, ""databricks-meta-llama-3-3-70b-instruct"": 29273}",0,0.0
25,Frontier Math (AIME),1,0,1,1,STABLE,1,0.05023,33.09,unanimous,0.142,1.8333,False,8894,8894,0,8894.0,5,1778.8,33.045,33.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 7327, ""databricks-meta-llama-3-3-70b-instruct"": 1567}",0,0.0
26,Frontier Math (AIME),0,0,0,0,STABLE,14,1.0462179999999999,721.38,mSPRT,0.4405,25.672,True,186115,15009,171106,13293.9,70,2658.8,721.322,51.523,"{""databricks-qwen3-next-80b-a3b-instruct"": 150879, ""databricks-meta-llama-3-3-70b-instruct"": 35236}",0,0.0
27,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.8107599999999999,678.18,fallback,0.0185,11.6611,False,145805,1815,143990,9720.3,75,1944.1,678.135,45.209,"{""databricks-qwen3-next-80b-a3b-instruct"": 113770, ""databricks-meta-llama-3-3-70b-instruct"": 32035}",0,0.0
28,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.656724,567.52,fallback,0.247,9.7876,False,120549,14772,105777,8036.6,75,1607.3,567.459,37.831,"{""databricks-qwen3-next-80b-a3b-instruct"": 87264, ""databricks-meta-llama-3-3-70b-instruct"": 33285}",0,0.0
29,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.999636,665.16,fallback,0.8235,2.0815,False,178822,2064,176758,11921.5,75,2384.3,665.104,44.34,"{""databricks-qwen3-next-80b-a3b-instruct"": 142174, ""databricks-meta-llama-3-3-70b-instruct"": 36648}",0,0.0
30,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.730914,624.29,fallback,0.1225,8.2498,False,134385,11255,123130,8959.0,75,1791.8,624.236,41.616,"{""databricks-qwen3-next-80b-a3b-instruct"": 96687, ""databricks-meta-llama-3-3-70b-instruct"": 37698}",0,0.0
31,Frontier Math (AIME),1,0,1,1,STABLE,15,0.757042,614.71,mSPRT,0.3935,30.1495,True,135626,12552,123074,9041.7,75,1808.3,614.661,40.977,"{""databricks-qwen3-next-80b-a3b-instruct"": 107269, ""databricks-meta-llama-3-3-70b-instruct"": 28357}",0,0.0
32,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.183212,837.03,fallback,0.5635,3.0245,False,215099,2444,212655,14339.9,75,2868.0,836.961,55.797,"{""databricks-qwen3-next-80b-a3b-instruct"": 161408, ""databricks-meta-llama-3-3-70b-instruct"": 53691}",0,0.0
33,Frontier Math (AIME),0,1,0,1,STABLE,6,0.24178399999999997,189.29,mSPRT,0.0,29.1684,True,43813,7874,35939,7302.2,30,1460.4,189.245,31.541,"{""databricks-qwen3-next-80b-a3b-instruct"": 33266, ""databricks-meta-llama-3-3-70b-instruct"": 10547}",0,0.0
34,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.9974139999999999,819.98,fallback,0.344,5.5187,False,185360,3831,181529,12357.3,75,2471.5,819.933,54.662,"{""databricks-qwen3-next-80b-a3b-instruct"": 127987, ""databricks-meta-llama-3-3-70b-instruct"": 57373}",0,0.0
35,Frontier Math (AIME),1,0,1,1,STABLE,1,0.071308,74.06,unanimous,0.141,1.8333,False,13529,13529,0,13529.0,5,2705.8,74.028,74.028,"{""databricks-qwen3-next-80b-a3b-instruct"": 8596, ""databricks-meta-llama-3-3-70b-instruct"": 4933}",0,0.0
36,Frontier Math (AIME),0,0,0,0,STABLE,10,0.8643279999999999,553.28,EL-streak,0.003,14.4223,False,151163,14451,136712,15116.3,50,3023.3,553.233,55.323,"{""databricks-qwen3-next-80b-a3b-instruct"": 129838, ""databricks-meta-llama-3-3-70b-instruct"": 21325}",0,0.0
37,Frontier Math (AIME),1,0,1,1,STABLE,1,0.05971,40.81,unanimous,0.1385,1.8333,False,10646,10646,0,10646.0,5,2129.2,40.769,40.769,"{""databricks-qwen3-next-80b-a3b-instruct"": 8563, ""databricks-meta-llama-3-3-70b-instruct"": 2083}",0,0.0
38,Frontier Math (AIME),1,0,1,1,STABLE,1,0.06498,46.68,unanimous,0.1325,1.8333,False,11911,11911,0,11911.0,5,2382.2,46.643,46.643,"{""databricks-qwen3-next-80b-a3b-instruct"": 8668, ""databricks-meta-llama-3-3-70b-instruct"": 3243}",0,0.0
39,Frontier Math (AIME),0,0,0,0,STABLE,12,0.45472799999999997,485.11,mSPRT,0.002,30.2352,True,85281,13673,71608,7106.8,60,1421.3,485.059,40.422,"{""databricks-qwen3-next-80b-a3b-instruct"": 56802, ""databricks-meta-llama-3-3-70b-instruct"": 28479}",0,0.0
40,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.065642,770.04,fallback,0.5805,2.8753,False,191347,2506,188841,12756.5,75,2551.3,769.988,51.333,"{""databricks-qwen3-next-80b-a3b-instruct"": 150127, ""databricks-meta-llama-3-3-70b-instruct"": 41220}",0,0.0
41,Frontier Math (AIME),0,0,0,0,STABLE,14,0.744522,609.91,mSPRT,0.3365,22.245,True,134370,10349,124021,9597.9,70,1919.6,609.857,43.561,"{""databricks-qwen3-next-80b-a3b-instruct"": 103521, ""databricks-meta-llama-3-3-70b-instruct"": 30849}",0,0.0
42,Frontier Math (AIME),0,0,0,0,STABLE,15,0.9197679999999999,749.14,EL-streak,0.073,3.7369,False,165965,15044,150921,11064.3,75,2212.9,749.076,49.938,"{""databricks-qwen3-next-80b-a3b-instruct"": 127954, ""databricks-meta-llama-3-3-70b-instruct"": 38011}",0,0.0
43,Frontier Math (AIME),0,0,0,1,STABLE,8,0.461586,368.87,mSPRT,0.0,29.1684,True,84085,3261,80824,10510.6,40,2102.1,368.836,46.105,"{""databricks-qwen3-next-80b-a3b-instruct"": 62623, ""databricks-meta-llama-3-3-70b-instruct"": 21462}",0,0.0
44,Frontier Math (AIME),1,0,1,1,STABLE,9,0.636496,427.76,EL-streak+mSPRT,0.0015,25.5897,True,113094,13169,99925,12566.0,45,2513.2,427.725,47.525,"{""databricks-qwen3-next-80b-a3b-instruct"": 92060, ""databricks-meta-llama-3-3-70b-instruct"": 21034}",0,0.0
45,Frontier Math (AIME),0,0,0,1,STABLE,5,0.087708,96.7,mSPRT,0.0005,20.7113,True,17615,3848,13767,3523.0,25,704.6,96.667,19.333,"{""databricks-qwen3-next-80b-a3b-instruct"": 8624, ""databricks-meta-llama-3-3-70b-instruct"": 8991}",0,0.0
46,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.26284,953.09,fallback,0.4035,5.9082,False,232675,9060,223615,15511.7,75,3102.3,953.047,63.536,"{""databricks-qwen3-next-80b-a3b-instruct"": 166070, ""databricks-meta-llama-3-3-70b-instruct"": 66605}",0,0.0
47,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.015796,715.52,fallback,0.656,7.3715,False,181512,14549,166963,12100.8,75,2420.2,715.466,47.698,"{""databricks-qwen3-next-80b-a3b-instruct"": 144874, ""databricks-meta-llama-3-3-70b-instruct"": 36638}",0,0.0
48,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.618552,519.38,fallback,0.646,3.8333,False,112693,10161,102532,7512.9,75,1502.6,519.327,34.622,"{""databricks-qwen3-next-80b-a3b-instruct"": 83890, ""databricks-meta-llama-3-3-70b-instruct"": 28803}",0,0.0
49,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.28012,865.17,fallback,0.436,9.2691,False,227424,15320,212104,15161.6,75,3032.3,865.115,57.674,"{""databricks-qwen3-next-80b-a3b-instruct"": 185212, ""databricks-meta-llama-3-3-70b-instruct"": 42212}",0,0.0
50,Frontier Math (AIME),1,0,1,1,STABLE,1,0.042296,31.16,unanimous,0.125,1.8333,False,7556,7556,0,7556.0,5,1511.2,31.131,31.131,"{""databricks-qwen3-next-80b-a3b-instruct"": 6036, ""databricks-meta-llama-3-3-70b-instruct"": 1520}",0,0.0
51,Frontier Math (AIME),1,0,1,1,STABLE,1,0.029594,26.64,unanimous,0.124,1.8333,False,5617,5617,0,5617.0,5,1123.4,26.606,26.606,"{""databricks-qwen3-next-80b-a3b-instruct"": 3563, ""databricks-meta-llama-3-3-70b-instruct"": 2054}",0,0.0
52,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.701526,724.77,fallback,0.7065,1.8333,False,134862,8632,126230,8990.8,75,1798.2,724.718,48.315,"{""databricks-qwen3-next-80b-a3b-instruct"": 81039, ""databricks-meta-llama-3-3-70b-instruct"": 53823}",0,0.0
53,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.111478,836.35,fallback,0.5805,6.3606,False,200798,15821,184977,13386.5,75,2677.3,836.3,55.753,"{""databricks-qwen3-next-80b-a3b-instruct"": 154143, ""databricks-meta-llama-3-3-70b-instruct"": 46655}",0,0.0
54,Frontier Math (AIME),0,0,0,1,STABLE,11,0.598656,411.2,mSPRT,0.0,36.0373,True,107715,4233,103482,9792.3,55,1958.5,411.16,37.378,"{""databricks-qwen3-next-80b-a3b-instruct"": 83898, ""databricks-meta-llama-3-3-70b-instruct"": 23817}",0,0.0
55,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.1391099999999998,714.46,fallback,0.4345,8.1319,False,202912,12608,190304,13527.5,75,2705.5,714.396,47.626,"{""databricks-qwen3-next-80b-a3b-instruct"": 163731, ""databricks-meta-llama-3-3-70b-instruct"": 39181}",0,0.0
56,Frontier Math (AIME),1,0,1,1,STABLE,5,0.28536399999999995,215.92,mSPRT,0.003,20.7113,True,51777,12969,38808,10355.4,25,2071.1,215.872,43.174,"{""databricks-qwen3-next-80b-a3b-instruct"": 39128, ""databricks-meta-llama-3-3-70b-instruct"": 12649}",0,0.0
57,Frontier Math (AIME),1,0,1,1,STABLE,5,0.051469999999999995,74.76,mSPRT,0.0015,20.7113,True,11214,2367,8847,2242.8,25,448.6,74.729,14.946,"{""databricks-qwen3-next-80b-a3b-instruct"": 3307, ""databricks-meta-llama-3-3-70b-instruct"": 7907}",0,0.0
58,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.02258,733.53,fallback,0.1855,15.7584,False,182249,6637,175612,12149.9,75,2430.0,733.469,48.898,"{""databricks-qwen3-next-80b-a3b-instruct"": 146792, ""databricks-meta-llama-3-3-70b-instruct"": 35457}",0,0.0
59,Frontier Math (AIME),1,0,1,0,STABLE,15,0.607108,584.92,EL-streak,0.145,6.5967,False,113219,12063,101156,7547.9,75,1509.6,584.866,38.991,"{""databricks-qwen3-next-80b-a3b-instruct"": 77116, ""databricks-meta-llama-3-3-70b-instruct"": 36103}",0,0.0
60,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.192426,1080.27,fallback,0.233,3.0129,False,208064,14732,193332,13870.9,75,2774.2,1080.212,72.014,"{""databricks-qwen3-next-80b-a3b-instruct"": 180085, ""databricks-meta-llama-3-3-70b-instruct"": 27979}",0,0.0
61,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.42017,1047.76,fallback,0.1245,11.7153,False,251919,15402,236517,16794.6,75,3358.9,1047.713,69.848,"{""databricks-qwen3-next-80b-a3b-instruct"": 206247, ""databricks-meta-llama-3-3-70b-instruct"": 45672}",0,0.0
62,Frontier Math (AIME),1,0,1,1,STABLE,6,0.250896,209.34,mSPRT,0.001,20.7113,True,47769,10249,37520,7961.5,30,1592.3,209.3,34.883,"{""databricks-qwen3-next-80b-a3b-instruct"": 29910, ""databricks-meta-llama-3-3-70b-instruct"": 17859}",0,0.0
63,Frontier Math (AIME),1,0,1,1,STABLE,5,0.10988999999999999,117.44,mSPRT,0.0005,20.7113,True,21497,3953,17544,4299.4,25,859.9,117.396,23.479,"{""databricks-qwen3-next-80b-a3b-instruct"": 11951, ""databricks-meta-llama-3-3-70b-instruct"": 9546}",0,0.0
64,Frontier Math (AIME),1,0,1,1,STABLE,1,0.059372,53.02,unanimous,0.1285,1.8333,False,10927,10927,0,10927.0,5,2185.4,52.984,52.984,"{""databricks-qwen3-next-80b-a3b-instruct"": 7832, ""databricks-meta-llama-3-3-70b-instruct"": 3095}",0,0.0
65,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.205668,850.79,fallback,0.6705,2.2494,False,211841,14728,197113,14122.7,75,2824.5,850.721,56.715,"{""databricks-qwen3-next-80b-a3b-instruct"": 179152, ""databricks-meta-llama-3-3-70b-instruct"": 32689}",0,0.0
66,Frontier Math (AIME),0,0,0,0,STABLE,8,0.342072,290.69,mSPRT,0.0125,30.1495,True,62561,9930,52631,7820.1,40,1564.0,290.637,36.33,"{""databricks-qwen3-next-80b-a3b-instruct"": 45914, ""databricks-meta-llama-3-3-70b-instruct"": 16647}",0,0.0
67,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.926122,685.68,fallback,0.0585,4.6899,False,164796,7217,157579,10986.4,75,2197.3,685.628,45.709,"{""databricks-qwen3-next-80b-a3b-instruct"": 133469, ""databricks-meta-llama-3-3-70b-instruct"": 31327}",0,0.0
68,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.396488,444.44,fallback,0.2655,6.0412,False,75109,6338,68771,5007.3,75,1001.5,444.396,29.626,"{""databricks-qwen3-next-80b-a3b-instruct"": 48026, ""databricks-meta-llama-3-3-70b-instruct"": 27083}",0,0.0
69,Frontier Math (AIME),0,0,0,1,STABLE,13,0.9848219999999999,724.77,EL-streak,0.106,6.5412,False,177856,2605,175251,13681.2,65,2736.2,724.709,55.747,"{""databricks-qwen3-next-80b-a3b-instruct"": 136699, ""databricks-meta-llama-3-3-70b-instruct"": 41157}",0,0.0
70,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.057712,667.31,fallback,0.379,18.542,False,191417,16554,174863,12761.1,75,2552.2,667.258,44.484,"{""databricks-qwen3-next-80b-a3b-instruct"": 146022, ""databricks-meta-llama-3-3-70b-instruct"": 45395}",0,0.0
71,Frontier Math (AIME),0,0,0,1,STABLE,9,0.227124,249.57,mSPRT,0.0,20.7113,True,45306,2107,43199,5034.0,45,1006.8,249.528,27.725,"{""databricks-qwen3-next-80b-a3b-instruct"": 22950, ""databricks-meta-llama-3-3-70b-instruct"": 22356}",0,0.0
72,Frontier Math (AIME),1,0,1,1,STABLE,6,0.39239199999999996,259.41,mSPRT,0.0005,22.4066,True,72067,12361,59706,12011.2,30,2402.2,259.372,43.229,"{""databricks-qwen3-next-80b-a3b-instruct"": 52062, ""databricks-meta-llama-3-3-70b-instruct"": 20005}",0,0.0
73,Frontier Math (AIME),1,1,1,1,STABLE,1,0.035132,24.84,unanimous,0.0635,1.8333,False,6448,6448,0,6448.0,5,1289.6,24.814,24.814,"{""databricks-qwen3-next-80b-a3b-instruct"": 4670, ""databricks-meta-llama-3-3-70b-instruct"": 1778}",0,0.0
74,Frontier Math (AIME),0,0,0,1,UNSTABLE,15,1.149028,788.29,fallback,0.3655,2.77,False,202836,15380,187456,13522.4,75,2704.5,788.236,52.549,"{""databricks-qwen3-next-80b-a3b-instruct"": 168842, ""databricks-meta-llama-3-3-70b-instruct"": 33994}",0,0.0
75,Frontier Math (AIME),1,0,1,0,UNSTABLE,15,0.431342,477.06,fallback,0.3905,5.7994,False,85144,10559,74585,5676.3,75,1135.3,477.014,31.801,"{""databricks-qwen3-next-80b-a3b-instruct"": 45383, ""databricks-meta-llama-3-3-70b-instruct"": 39761}",0,0.0
76,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.112248,739.5,fallback,0.0475,11.6856,False,197832,14887,182945,13188.8,75,2637.8,739.445,49.296,"{""databricks-qwen3-next-80b-a3b-instruct"": 160460, ""databricks-meta-llama-3-3-70b-instruct"": 37372}",0,0.0
77,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.799052,573.47,fallback,0.663,3.6454,False,147275,7418,139857,9818.3,75,1963.7,573.426,38.228,"{""databricks-qwen3-next-80b-a3b-instruct"": 104976, ""databricks-meta-llama-3-3-70b-instruct"": 42299}",0,0.0
78,Frontier Math (AIME),1,0,1,1,STABLE,6,0.272262,188.56,mSPRT,0.0,29.1684,True,49710,8383,41327,8285.0,30,1657.0,188.526,31.421,"{""databricks-qwen3-next-80b-a3b-instruct"": 36711, ""databricks-meta-llama-3-3-70b-instruct"": 12999}",0,0.0
79,Frontier Math (AIME),0,0,0,1,STABLE,10,0.30793,300.49,mSPRT,0.001,30.5146,True,60463,6912,53551,6046.3,50,1209.3,300.446,30.045,"{""databricks-qwen3-next-80b-a3b-instruct"": 33039, ""databricks-meta-llama-3-3-70b-instruct"": 27424}",0,0.0
80,Frontier Math (AIME),1,0,1,1,STABLE,1,0.06214199999999999,40.63,unanimous,0.1255,1.8333,False,11093,11093,0,11093.0,5,2218.6,40.604,40.604,"{""databricks-qwen3-next-80b-a3b-instruct"": 8885, ""databricks-meta-llama-3-3-70b-instruct"": 2208}",0,0.0
81,Frontier Math (AIME),0,0,0,0,STABLE,10,0.7370699999999999,471.96,EL-streak+mSPRT,0.007,27.4893,True,130090,13090,117000,13009.0,50,2601.8,471.919,47.192,"{""databricks-qwen3-next-80b-a3b-instruct"": 108355, ""databricks-meta-llama-3-3-70b-instruct"": 21735}",0,0.0
82,Frontier Math (AIME),0,0,0,0,STABLE,12,0.4803799999999999,469.58,mSPRT,0.551,20.7113,True,87934,10608,77326,7327.8,60,1465.6,469.541,39.128,"{""databricks-qwen3-next-80b-a3b-instruct"": 64322, ""databricks-meta-llama-3-3-70b-instruct"": 23612}",0,0.0
83,Frontier Math (AIME),0,0,0,0,STABLE,12,0.81136,569.19,EL-streak,0.1355,3.5908,False,145532,2277,143255,12127.7,60,2425.5,569.139,47.428,"{""databricks-qwen3-next-80b-a3b-instruct"": 114616, ""databricks-meta-llama-3-3-70b-instruct"": 30916}",0,0.0
84,Frontier Math (AIME),1,0,1,1,STABLE,1,0.048718,35.87,unanimous,0.14,1.8333,False,8914,8914,0,8914.0,5,1782.8,35.839,35.839,"{""databricks-qwen3-next-80b-a3b-instruct"": 6531, ""databricks-meta-llama-3-3-70b-instruct"": 2383}",0,0.0
85,Frontier Math (AIME),0,0,0,1,STABLE,10,0.390926,323.34,EL-streak+mSPRT,0.01,24.7858,True,72056,9983,62073,7205.6,50,1441.1,323.303,32.33,"{""databricks-qwen3-next-80b-a3b-instruct"": 51351, ""databricks-meta-llama-3-3-70b-instruct"": 20705}",0,0.0
86,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.027482,669.22,fallback,0.5105,10.5027,False,186828,4367,182461,12455.2,75,2491.0,669.167,44.611,"{""databricks-qwen3-next-80b-a3b-instruct"": 140085, ""databricks-meta-llama-3-3-70b-instruct"": 46743}",0,0.0
87,Frontier Math (AIME),1,0,1,1,STABLE,1,0.05153,29.39,unanimous,0.131,1.8333,False,9107,9107,0,9107.0,5,1821.4,29.355,29.355,"{""databricks-qwen3-next-80b-a3b-instruct"": 7551, ""databricks-meta-llama-3-3-70b-instruct"": 1556}",0,0.0
88,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.719472,583.59,fallback,0.5155,3.028,False,131273,6582,124691,8751.5,75,1750.3,583.541,38.903,"{""databricks-qwen3-next-80b-a3b-instruct"": 97190, ""databricks-meta-llama-3-3-70b-instruct"": 34083}",0,0.0
89,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,0.898762,752.2,fallback,0.6265,3.463,False,164214,2408,161806,10947.6,75,2189.5,752.151,50.143,"{""databricks-qwen3-next-80b-a3b-instruct"": 120953, ""databricks-meta-llama-3-3-70b-instruct"": 43261}",0,0.0
90,Frontier Math (AIME),0,0,0,0,UNSTABLE,15,1.0352759999999999,756.0,fallback,0.4815,8.6047,False,186722,15344,171378,12448.1,75,2489.6,755.955,50.397,"{""databricks-qwen3-next-80b-a3b-instruct"": 144194, ""databricks-meta-llama-3-3-70b-instruct"": 42528}",0,0.0
