Idx,Category,Qwen_Guess,Llama_Guess,Consensus_S1,DASE_Final,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
43,GPQA (Astrophysics),B,C,B,B,1,0,1,1,STABLE,4,0.104436,104.66,0,0.0
44,GPQA (Molecular Biology),empty,C,C,C,0,1,1,1,STABLE,1,0.01277,3.14,0,0.0
45,GPQA (Molecular Biology),B,B,B,B,1,1,1,1,STABLE,1,0.008042,0.79,0,0.0
46,GPQA (Molecular Biology),D,D,D,D,0,0,0,0,STABLE,1,0.0089199999999999,2.88,0,0.0
47,GPQA (Astrophysics),empty,C,C,C,0,1,1,1,STABLE,1,0.015638,10.78,0,0.0
48,GPQA (High-energy particle physics),B,B,B,B,1,1,1,1,STABLE,1,0.028662,26.66,0,0.0
49,GPQA (Astrophysics),B,B,B,B,1,1,1,1,STABLE,1,0.02258,32.47,0,0.0
50,GPQA (Organic Chemistry),1-hydroxy-2-methoxy-2-methylpropyl,C,1-hydroxy-2-methoxy-2-methylpropyl,C,0,0,0,0,STABLE,5,0.4417319999999999,261.11,0,0.0
51,GPQA (Molecular Biology),empty,A,A,A,0,0,0,0,STABLE,7,0.107412,141.52,0,0.0
52,GPQA (Organic Chemistry),C,B,C,B,1,0,1,0,STABLE,4,0.213108,142.77,0,0.0
53,GPQA (Organic Chemistry),empty,B,B,B,0,1,1,1,STABLE,4,0.226066,182.79,0,0.0
54,GPQA (Physics (general)),A,B,A,B,0,1,0,1,STABLE,4,0.142868,127.86,0,0.0
55,GPQA (Physics (general)),A,A,A,A,1,1,1,1,STABLE,4,0.156746,96.97,0,0.0
56,GPQA (Organic Chemistry),empty,B,B,D,0,0,0,0,STABLE,14,0.829492,626.95,0,0.0
57,GPQA (Chemistry (general)),A,C,A,C,0,1,0,1,STABLE,11,0.4552539999999999,344.81,0,0.0
58,GPQA (Organic Chemistry),C,C,C,C,1,1,1,1,STABLE,4,0.144136,148.21,0,0.0
59,GPQA (High-energy particle physics),D,D,D,D,1,1,1,1,STABLE,1,0.004136,0.48,0,0.0
60,GPQA (Molecular Biology),A,A,A,A,1,1,1,1,STABLE,1,0.0060319999999999,1.36,0,0.0
61,GPQA (High-energy particle physics),C,C,C,C,1,1,1,1,STABLE,1,0.03041,11.12,0,0.0
62,GPQA (Chemistry (general)),B,B,B,B,1,1,1,1,STABLE,1,0.021542,23.74,0,0.0
63,GPQA (Chemistry (general)),C,D,C,D,0,1,0,1,STABLE,4,0.210482,148.6,0,0.0
64,GPQA (Molecular Biology),C,C,C,C,1,1,1,1,STABLE,1,0.0050379999999999,0.89,0,0.0
65,GPQA (Analytical Chemistry),C,B,C,B,0,1,0,1,STABLE,14,0.572476,654.71,0,0.0
66,GPQA (Physics (general)),C,D,C,C,0,1,0,0,STABLE,7,0.349662,321.63,0,0.0
67,GPQA (Chemistry (general)),D,D,D,D,1,1,1,1,STABLE,1,0.02,24.06,0,0.0
68,GPQA (Molecular Biology),C,D,C,C,0,1,0,0,STABLE,4,0.088776,109.54,0,0.0
69,GPQA (Astrophysics),B,B,B,B,1,1,1,1,STABLE,1,0.02454,29.44,0,0.0
70,GPQA (Chemistry (general)),D,D,D,D,1,1,1,1,STABLE,1,0.029196,35.49,0,0.0
71,GPQA (Organic Chemistry),–CH(CO₂Et)CH₂CH₃,A,–CH(CO₂Et)CH₂CH₃,A,0,0,0,0,STABLE,5,0.4557459999999999,323.24,0,0.0
72,GPQA (High-energy particle physics),B,C,B,C,1,0,1,0,STABLE,4,0.2457039999999999,254.4,0,0.0
73,GPQA (Quantum Mechanics),A,A,A,A,1,1,1,1,STABLE,1,0.012136,6.0,0,0.0
74,GPQA (Organic Chemistry),C,C,C,C,0,0,0,0,STABLE,1,0.009696,3.53,0,0.0
75,GPQA (Electromagnetism and Photonics),B,B,B,B,1,1,1,1,STABLE,1,0.027108,14.52,0,0.0
76,GPQA (Astrophysics),D,B,D,D,1,0,1,1,STABLE,4,0.188098,166.35,0,0.0
77,GPQA (Organic Chemistry),A,A,A,B,0,0,0,1,STABLE,14,0.415846,288.04,0,0.0
78,GPQA (Quantum Mechanics),A,B,A,B,0,1,0,1,STABLE,5,0.316494,266.59,0,0.0
79,GPQA (Molecular Biology),B,B,B,B,1,1,1,1,STABLE,1,0.0308179999999999,19.69,0,0.0
80,GPQA (Chemistry (general)),B,D,B,B,0,0,0,0,STABLE,4,0.069782,43.22,0,0.0
81,GPQA (Organic Chemistry),(A) 3,D,(A) 3,A,0,1,0,0,STABLE,5,0.225122,259.54,0,0.0
82,GPQA (Organic Chemistry),empty,A,A,A,0,1,1,1,STABLE,4,0.3407799999999999,267.38,0,0.0
83,GPQA (Organic Chemistry),empty,D,D,D,0,0,0,0,STABLE,1,0.062436,57.83,0,0.0
84,GPQA (Chemistry (general)),empty,D,D,D,0,0,0,0,STABLE,1,0.090584,69.51,0,0.0
85,GPQA (Genetics),C,B,C,C,0,0,0,0,STABLE,4,0.0643939999999999,47.05,0,0.0
86,GPQA (Organic Chemistry),A,D,A,D,0,1,0,1,STABLE,4,0.294344,254.79,0,0.0
87,GPQA (Organic Chemistry),A,B,A,4.5,0,0,0,0,STABLE,9,0.719834,583.42,0,0.0
88,GPQA (Genetics),D,D,D,D,1,1,1,1,STABLE,1,0.02392,17.25,0,0.0
89,GPQA (Molecular Biology),A,A,A,A,1,1,1,1,STABLE,1,0.004004,5.72,0,0.0
90,GPQA (Organic Chemistry),D,D,D,D,1,1,1,1,STABLE,7,0.4368399999999999,362.33,0,0.0
91,GPQA (Molecular Biology),C,C,C,C,0,0,0,0,STABLE,1,0.0094379999999999,1.06,0,0.0
92,GPQA (Quantum Mechanics),C,C,C,C,1,1,1,1,STABLE,1,0.013984,7.59,0,0.0
93,GPQA (Molecular Biology),D,D,D,D,1,1,1,1,STABLE,1,0.0129439999999999,8.46,0,0.0
94,GPQA (Molecular Biology),B,B,B,B,1,1,1,1,STABLE,1,0.00735,0.6,0,0.0
95,GPQA (Genetics),B,B,B,B,1,1,1,1,STABLE,1,0.012162,4.29,0,0.0
96,GPQA (Condensed Matter Physics),B,B,B,B,1,1,1,1,STABLE,1,0.05445,61.58,0,0.0
97,GPQA (Organic Chemistry),B,A,B,A,1,0,1,0,UNSTABLE,15,1.1322139999999998,916.33,0,0.0
98,GPQA (Chemistry (general)),C,D,C,D,1,0,1,0,UNSTABLE,15,1.116676,861.26,0,0.0
99,GPQA (Organic Chemistry),D,C,D,A,0,0,0,1,STABLE,9,0.11323,124.77,0,0.0
100,GPQA (Chemistry (general)),C,B,C,C,1,0,1,1,STABLE,11,0.406014,247.53,0,0.0
101,GPQA (Physics (general)),empty,A,A,A,0,1,1,1,STABLE,1,0.007996,0.75,0,0.0
102,GPQA (Electromagnetism and Photonics),C,C,C,C,1,1,1,1,STABLE,1,0.0151019999999999,5.26,0,0.0
103,GPQA (Genetics),D,C,D,C,1,0,1,0,STABLE,13,0.555186,405.34,0,0.0
104,GPQA (Organic Chemistry),D,D,D,D,0,0,0,0,STABLE,4,0.16795,131.59,0,0.0
105,GPQA (Organic Chemistry),B,B,B,B,0,0,0,0,STABLE,4,0.176784,133.22,0,0.0
106,GPQA (Chemistry (general)),A,B,A,A,1,0,1,1,STABLE,11,0.344638,347.94,0,0.0
107,GPQA (Astrophysics),D,A,D,D,1,0,1,1,STABLE,4,0.108614,82.85,0,0.0
108,GPQA (High-energy particle physics),B,B,B,B,1,1,1,1,STABLE,1,0.006598,2.66,0,0.0
109,GPQA (High-energy particle physics),"M(A,Z) - A",B,"M(A,Z) - A",B,1,0,1,0,STABLE,12,0.909698,652.25,0,0.0
110,GPQA (Quantum Mechanics),B,A,B,B,1,0,1,1,STABLE,4,0.082258,152.73,0,0.0
111,GPQA (Quantum Mechanics),B,B,B,B,1,1,1,1,STABLE,1,0.0128779999999999,4.82,0,0.0
112,GPQA (Chemistry (general)),D,D,D,D,1,1,1,1,STABLE,1,0.0192719999999999,10.2,0,0.0
113,GPQA (Quantum Mechanics),A,A,A,A,1,1,1,1,STABLE,1,0.005792,0.55,0,0.0
114,GPQA (Statistical Mechanics),D,A,D,D,0,1,0,0,STABLE,4,0.138214,97.53,0,0.0
115,GPQA (High-energy particle physics),B,B,B,B,1,1,1,1,STABLE,1,0.020396,24.45,0,0.0
116,GPQA (Electromagnetism and Photonics),empty,B,B,B,0,1,1,1,STABLE,1,0.088506,76.42,0,0.0
117,GPQA (Organic Chemistry),C,C,C,C,0,0,0,0,STABLE,1,0.021276,8.65,0,0.0
118,GPQA (Chemistry (general)),(A),A,(A),A,1,1,1,1,STABLE,4,0.203616,144.85,0,0.0
119,GPQA (Quantum Mechanics),empty,A,A,A,0,0,0,0,STABLE,1,0.0867739999999999,52.8,0,0.0
120,GPQA (Quantum Mechanics),D,B,D,B,1,0,1,0,UNSTABLE,15,0.749,511.05,0,0.0
121,GPQA (Molecular Biology),A,A,A,A,1,1,1,1,STABLE,1,0.007844,0.56,0,0.0
122,GPQA (Organic Chemistry),empty,A,A,A,0,0,0,0,STABLE,1,0.086436,60.15,0,0.0
123,GPQA (Organic Chemistry),C,C,C,C,0,0,0,0,STABLE,1,0.059412,32.75,0,0.0
124,GPQA (Analytical Chemistry),A,A,A,A,0,0,0,0,STABLE,1,0.010388,0.93,0,0.0
125,GPQA (Organic Chemistry),empty,B,B,B,0,1,1,1,STABLE,1,0.052872,43.01,0,0.0
126,GPQA (Physics (general)),D,D,D,D,1,1,1,1,STABLE,1,0.027846,12.38,0,0.0
127,GPQA (Molecular Biology),empty,A,A,B,0,0,0,1,STABLE,4,0.081404,85.2,0,0.0
128,GPQA (Astrophysics),D,D,D,D,1,1,1,1,STABLE,1,0.00766,12.81,0,0.0
129,GPQA (Organic Chemistry),empty,B,B,B,0,0,0,0,STABLE,1,0.0016079999999999,7.68,0,0.0
130,GPQA (Molecular Biology),empty,B,B,B,0,0,0,0,STABLE,1,0.001856,11.82,0,0.0
131,GPQA (Organic Chemistry),empty,D,D,D,0,1,1,1,STABLE,1,0.0694659999999999,42.26,0,0.0
132,GPQA (Organic Chemistry),D,C,D,D,1,0,1,1,STABLE,4,0.3021459999999999,177.83,0,0.0
133,GPQA (Chemistry (general)),empty,B,B,B,0,0,0,0,STABLE,9,0.560214,436.82,0,0.0
134,GPQA (Organic Chemistry),empty,A,A,A,0,0,0,0,STABLE,1,0.001808,8.87,0,0.0
135,GPQA (Chemistry (general)),B,D,B,D,0,1,0,1,STABLE,5,0.070864,51.9,0,0.0
136,GPQA (Electromagnetism and Photonics),empty,A,A,A,0,0,0,0,STABLE,1,0.001792,10.8,0,0.0
137,GPQA (Organic Chemistry),empty,A,A,A,0,1,1,1,STABLE,1,0.0015999999999999,10.7,0,0.0
138,GPQA (Chemistry (general)),empty,A,A,A,0,1,1,1,STABLE,1,0.002764,12.39,0,0.0
139,GPQA (Chemistry (general)),C,C,C,C,1,1,1,1,STABLE,1,0.006376,0.64,0,0.0
140,GPQA (Statistical Mechanics),A,A,A,A,1,1,1,1,STABLE,1,0.040742,27.71,0,0.0
141,GPQA (Organic Chemistry),empty,C,C,C,0,0,0,0,STABLE,5,0.3770099999999999,235.05,0,0.0
142,GPQA (Organic Chemistry),R₂N⁺=CR–R',A,R₂N⁺=CR–R',A,0,1,0,1,STABLE,4,0.17076,139.3,0,0.0
143,GPQA (Relativistic Mechanics),empty,A,A,D,0,0,0,0,STABLE,9,0.439482,349.34,0,0.0
144,GPQA (Chemistry (general)),D,D,D,D,1,1,1,1,STABLE,1,0.0052899999999999,5.34,0,0.0
145,GPQA (Organic Chemistry),empty,D,D,D,0,1,1,1,STABLE,1,0.072174,38.67,0,0.0
146,GPQA (Quantum Mechanics),D,D,D,D,1,1,1,1,STABLE,1,0.010974,16.13,0,0.0
147,GPQA (Organic Chemistry),D,C,D,B,0,0,0,1,STABLE,10,0.1108179999999999,114.57,0,0.0
148,GPQA (Physics (general)),empty,A,A,A,0,1,1,1,STABLE,1,0.090416,53.31,0,0.0
149,GPQA (Organic Chemistry),empty,C,C,C,0,0,0,0,STABLE,1,0.08851,71.15,0,0.0
150,GPQA (Relativistic Mechanics),C,C,C,C,1,1,1,1,STABLE,1,0.0118979999999999,4.83,0,0.0
151,GPQA (Astrophysics),B,B,B,B,1,1,1,1,STABLE,1,0.0289159999999999,31.98,0,0.0
152,GPQA (Quantum Mechanics),A,C,A,A,1,0,1,1,STABLE,4,0.134622,118.95,0,0.0
153,GPQA (Physics (general)),C,D,C,C,1,0,1,1,STABLE,4,0.145344,88.34,0,0.0
154,GPQA (Organic Chemistry),empty,B,B,B,0,0,0,0,UNSTABLE,15,0.963442,705.29,0,0.0
155,GPQA (Molecular Biology),A,C,A,C,0,1,0,1,STABLE,5,0.146148,88.84,0,0.0
156,GPQA (Chemistry (general)),A,B,A,A,1,0,1,1,STABLE,8,0.515712,422.04,0,0.0
157,GPQA (Quantum Mechanics),C,D,C,C,1,0,1,1,STABLE,4,0.243292,170.67,0,0.0
158,GPQA (Organic Chemistry),C,B,C,C,1,0,1,1,STABLE,4,0.2270039999999999,169.82,0,0.0
159,GPQA (Organic Chemistry),(2-ethylcyclohexyl)-N⁺H₂-CH₂CH₃,D,(2-ethylcyclohexyl)-N⁺H₂-CH₂CH₃,D,0,0,0,0,STABLE,4,0.2711659999999999,206.03,0,0.0
160,GPQA (Organic Chemistry),B,B,B,B,1,1,1,1,STABLE,1,0.019814,18.02,0,0.0
161,GPQA (Quantum Mechanics),D,A,D,D,1,0,1,1,STABLE,4,0.062696,44.6,0,0.0
162,GPQA (Organic Chemistry),A,C,A,C,1,0,1,0,STABLE,5,0.2694379999999999,238.94,0,0.0
163,GPQA (Quantum Mechanics),A,A,A,A,1,1,1,1,STABLE,7,0.30889,278.28,0,0.0
164,GPQA (Chemistry (general)),C,A,C,C,0,0,0,0,STABLE,4,0.121152,54.71,0,0.0
165,GPQA (Molecular Biology),empty,D,D,D,0,1,1,1,STABLE,1,0.092468,43.57,0,0.0
166,GPQA (Quantum Mechanics),C,C,C,C,1,1,1,1,STABLE,1,0.014196,6.97,0,0.0
167,GPQA (Physics (general)),D,D,D,D,1,1,1,1,STABLE,1,0.019334,18.98,0,0.0
168,GPQA (Chemistry (general)),C,C,C,C,1,1,1,1,STABLE,4,0.2210879999999999,171.74,0,0.0
169,GPQA (Organic Chemistry),"3,3",A,"3,3","3,3",0,0,0,0,STABLE,4,0.3508139999999999,184.2,0,0.0
170,GPQA (High-energy particle physics),A,C,A,A,1,0,1,1,STABLE,4,0.167756,156.01,0,0.0
171,GPQA (Genetics),empty,D,D,D,0,1,1,1,STABLE,1,0.02888,40.32,0,0.0
172,GPQA (Molecular Biology),D,A,D,A,0,1,0,1,STABLE,5,0.073444,39.0,0,0.0
173,GPQA (High-energy particle physics),A,B,A,A,1,0,1,1,STABLE,4,0.081444,52.48,0,0.0
174,GPQA (Molecular Biology),C,D,C,C,0,1,0,0,STABLE,4,0.0703859999999999,36.63,0,0.0
175,GPQA (Electromagnetism and Photonics),A,A,A,A,1,1,1,1,STABLE,1,0.017556,11.92,0,0.0
176,GPQA (Molecular Biology),B,B,B,B,1,1,1,1,STABLE,1,0.0100919999999999,5.38,0,0.0
177,GPQA (Organic Chemistry),D,C,D,C,0,1,0,1,STABLE,10,0.4453479999999999,315.5,0,0.0
178,GPQA (Astrophysics),empty,A,A,A,0,0,0,0,STABLE,1,0.002288,10.05,0,0.0
179,GPQA (Genetics),empty,B,B,D,0,0,0,0,STABLE,10,0.507854,276.27,0,0.0
180,GPQA (Chemistry (general)),B,C,B,B,1,0,1,1,STABLE,4,0.0922139999999999,108.19,0,0.0
181,GPQA (Organic Chemistry),empty,B,B,B,0,0,0,0,STABLE,1,0.001808,9.02,0,0.0
182,GPQA (Physics (general)),empty,C,C,C,0,1,1,1,STABLE,1,0.0362679999999999,40.08,0,0.0
183,GPQA (Astrophysics),empty,D,D,D,0,0,0,0,STABLE,1,0.003136,4.92,0,0.0
184,GPQA (Relativistic Mechanics),empty,C,C,C,0,0,0,0,STABLE,1,0.013004,25.6,0,0.0
185,GPQA (Physics (general)),A,A,A,A,1,1,1,1,STABLE,1,0.0094519999999999,5.45,0,0.0
186,GPQA (Organic Chemistry),D,D,D,D,1,1,1,1,STABLE,4,0.2340879999999999,152.26,0,0.0
187,GPQA (Chemistry (general)),B,B,B,B,1,1,1,1,STABLE,1,0.0201779999999999,13.27,0,0.0
188,GPQA (Quantum Mechanics),A,A,A,A,1,1,1,1,STABLE,1,0.02412,11.11,0,0.0
189,GPQA (Quantum Mechanics),A,A,A,A,1,1,1,1,STABLE,1,0.024092,12.75,0,0.0
190,GPQA (Molecular Biology),A,A,A,A,1,1,1,1,STABLE,1,0.008734,2.52,0,0.0
191,GPQA (Organic Chemistry),empty,A,A,B,0,1,1,0,STABLE,5,0.1674699999999999,126.37,0,0.0
192,GPQA (Quantum Mechanics),A,A,A,A,1,1,1,1,STABLE,1,0.030486,15.97,0,0.0
193,GPQA (Organic Chemistry),empty,C,C,C,0,0,0,0,STABLE,10,0.463048,386.63,0,0.0
194,GPQA (Electromagnetism and Photonics),empty,C,C,C,0,0,0,0,STABLE,1,0.005932,9.5,0,0.0
195,GPQA (Organic Chemistry),D,A,D,A,0,1,0,1,STABLE,4,0.233276,178.24,0,0.0
196,GPQA (Physics (general)),empty,B,B,B,0,1,1,1,STABLE,1,0.081418,42.71,0,0.0
197,GPQA (Quantum Mechanics),f(0),C,f(0),f(0),0,0,0,0,STABLE,14,0.918186,784.65,0,0.0
198,GPQA (High-energy particle physics),B,A,B,A,0,1,0,1,STABLE,6,0.091778,65.77,0,0.0
199,GPQA (Chemistry (general)),empty,D,D,D,0,1,1,1,STABLE,1,0.0133199999999999,18.81,0,0.0
200,GPQA (Chemistry (general)),empty,C,C,C,0,1,1,1,STABLE,1,0.00637,5.62,0,0.0
201,GPQA (Quantum Mechanics),D,B,D,B,0,1,0,1,STABLE,4,0.28435,284.72,0,0.0
202,GPQA (Organic Chemistry),D,D,D,D,1,1,1,1,STABLE,1,0.0254019999999999,22.62,0,0.0
203,GPQA (Genetics),TACGATG,B,TACGATG,B,0,1,0,1,STABLE,4,0.339258,218.65,0,0.0
204,GPQA (Organic Chemistry),A,B,A,A,0,1,0,0,STABLE,4,0.2069,136.28,0,0.0
205,GPQA (Inorganic Chemistry),C,A,C,C,1,0,1,1,STABLE,4,0.060092,90.0,0,0.0
206,GPQA (Relativistic Mechanics),empty,D,D,C,0,0,0,1,STABLE,4,0.19579,134.67,0,0.0
207,GPQA (Organic Chemistry),empty,B,B,B,0,1,1,1,STABLE,1,0.066438,41.29,0,0.0
208,GPQA (Organic Chemistry),empty,B,B,B,0,1,1,1,STABLE,4,0.282434,178.7,0,0.0
209,GPQA (High-energy particle physics),C,C,C,C,1,1,1,1,STABLE,1,0.0078,6.29,0,0.0
210,GPQA (Quantum Mechanics),A,A,A,A,1,1,1,1,STABLE,1,0.011524,11.29,0,0.0
211,GPQA (Molecular Biology),empty,B,B,B,0,1,1,1,STABLE,1,0.00657,9.29,0,0.0
212,GPQA (Chemistry (general)),empty,C,C,C,0,1,1,1,STABLE,1,0.032422,42.21,0,0.0
213,GPQA (Quantum Mechanics),empty,B,B,B,0,1,1,1,STABLE,1,0.037856,32.66,0,0.0
214,GPQA (High-energy particle physics),empty,C,C,C,0,0,0,0,STABLE,1,0.003152,8.42,0,0.0
215,GPQA (Inorganic Chemistry),empty,B,B,B,0,0,0,0,STABLE,1,0.011184,22.13,0,0.0
216,GPQA (Organic Chemistry),empty,D,D,D,0,1,1,1,STABLE,4,0.0393319999999999,69.42,0,0.0
217,GPQA (Quantum Mechanics),D,D,D,D,1,1,1,1,STABLE,1,0.055212,37.98,0,0.0
218,GPQA (High-energy particle physics),C,D,C,C,1,0,1,1,STABLE,4,0.071522,42.37,0,0.0
219,GPQA (Organic Chemistry),B,B,B,B,1,1,1,1,STABLE,1,0.016624,9.54,0,0.0
220,GPQA (Organic Chemistry),B,B,B,B,1,1,1,1,STABLE,1,0.0225919999999999,11.58,0,0.0
221,GPQA (Quantum Mechanics),D,D,D,D,1,1,1,1,STABLE,1,0.0309459999999999,24.59,0,0.0
222,GPQA (Molecular Biology),C,C,C,C,1,1,1,1,STABLE,1,0.00577,0.54,0,0.0
223,GPQA (Molecular Biology),C,C,C,C,0,0,0,0,STABLE,1,0.0061719999999999,0.56,0,0.0
224,GPQA (Organic Chemistry),A,A,A,A,1,1,1,1,STABLE,1,0.008182,4.07,0,0.0
225,GPQA (Chemistry (general)),D,(B),D,D,1,0,1,1,STABLE,4,0.1451219999999999,131.33,0,0.0
226,GPQA (Quantum Mechanics),B,A,B,B,1,0,1,1,STABLE,4,0.116094,194.54,0,0.0
227,GPQA (High-energy particle physics),D,D,D,D,0,0,0,0,STABLE,1,0.004532,0.95,0,0.0
228,GPQA (High-energy particle physics),empty,C,C,C,0,1,1,1,STABLE,1,0.0848619999999999,124.57,0,0.0
229,GPQA (Statistical Mechanics),A,D,A,A,1,0,1,1,STABLE,4,0.1453219999999999,144.33,0,0.0
230,GPQA (Organic Chemistry),D,A,D,D,1,0,1,1,STABLE,4,0.275674,197.49,0,0.0
231,GPQA (Genetics),D,D,D,D,1,1,1,1,STABLE,1,0.0042299999999999,1.06,0,0.0
232,GPQA (Organic Chemistry),empty,A,A,A,0,1,1,1,STABLE,1,0.079026,42.57,0,0.0
233,GPQA (Organic Chemistry),empty,A,A,A,0,1,1,1,STABLE,4,0.257168,181.11,0,0.0
234,GPQA (Molecular Biology),C,D,C,C,0,1,0,0,STABLE,10,0.148086,175.9,0,0.0
235,GPQA (Chemistry (general)),(A),B,(A),B,1,0,1,0,STABLE,12,0.664808,500.36,0,0.0
236,GPQA (Quantum Mechanics),empty,A,A,A,0,1,1,1,STABLE,1,0.002312,8.56,0,0.0
237,GPQA (Chemistry (general)),empty,C,C,C,0,0,0,0,STABLE,1,0.00296,8.95,0,0.0
238,GPQA (High-energy particle physics),empty,C,C,C,0,0,0,0,STABLE,1,0.003944,8.48,0,0.0
239,GPQA (Astrophysics),empty,B,B,B,0,1,1,1,STABLE,1,0.006516,23.72,0,0.0
240,GPQA (Quantum Mechanics),empty,C,C,C,0,1,1,1,STABLE,7,0.48882,363.19,0,0.0
241,GPQA (Genetics),empty,B,B,B,0,0,0,0,STABLE,1,0.079702,45.78,0,0.0
242,GPQA (Physics (general)),D,D,D,D,1,1,1,1,STABLE,1,0.020886,15.14,0,0.0
243,GPQA (Astrophysics),C,A,C,A,0,1,0,1,STABLE,7,0.1038839999999999,80.52,0,0.0
244,GPQA (Physics (general)),empty,B,B,B,0,0,0,0,UNSTABLE,15,0.589198,439.07,0,0.0
